spp,dib4in,a4,b4,a17_0,b17_0,r_0,c_0,e_0,p_0,a_0,b_0,a17_4,b17_4,r_4,c_4,e_4,p_4,q_4,a17_7,b17_7,r_7,c_7,e_7,p_7,q_7
12,3.671,-0.072,0.949,0.858,-0.561,40.5,1.316,-12.0,0.969,0.869,1.941,0.833,-0.129,26.99,1.218,36.0,0.624,0.808,0.816,-0.023,17.99,0.903,422.0,1.049,0.845
68,3.842,-0.162,0.989,0.864,-0.919,25.4,1.09,43.0,1.122,0.899,1.467,0.73,-0.146,17.92,1.1,44.0,0.909,1.058,0.828,-0.136,23.75,1.553,-81.0,0.845,1.132
94,3.734,-0.05,0.961,0.89,-0.877,12.1,0.899,17.0,1.952,0.861,2.062,0.851,-0.254,13.95,0.892,120.0,1.835,0.809,0.856,-0.14,8.58,0.858,124.0,1.405,0.933
95,3.732,-0.122,0.959,0.9,-0.713,42.5,1.39,-69.0,0.582,0.85,2.956,0.868,-0.155,25.81,1.18,-24.0,-0.04,1.028,0.876,-0.106,3.1,1.053,-154.0,1.448,1.076
105,3.741,-0.18,0.941,0.902,-0.74,50.1,0.69,12.0,-0.181,0.79,2.26,0.861,-0.143,34.8,0.654,29.0,0.696,1.0,0.852,-0.044,26.9,0.591,132.0,1.036,0.883
110,3.622,-0.151,0.919,0.951,-0.61,18.1,0.529,-24.0,3.355,0.731,3.052,0.938,-0.301,16.1,0.529,-19.0,2.773,1.492,0.928,-0.14,11.8,0.439,50.0,2.83,1.424
125,3.746,0.142,0.91,0.939,-0.831,36.1,0.573,22.0,0.813,0.732,2.417,0.898,-0.186,25.79,0.529,41.0,1.064,1.183,0.879,-0.007,28.01,0.517,172.0,1.087,1.221
129,3.707,0.039,0.919,0.879,-0.401,37.1,0.694,45.0,4.718,0.624,1.696,0.87,-0.186,34.2,0.688,138.0,2.644,0.871,0.862,-0.046,33.1,0.63,703.0,3.449,0.996
241,3.717,0.124,0.94,0.862,-0.94,18.1,1.245,-5.0,2.2,0.718,1.357,0.787,-0.182,14.1,1.188,58.0,1.738,0.811,0.752,-0.032,14.07,0.635,910.0,1.098,0.887
261,3.5,-0.39,0.941,0.931,-0.88,30.71,1.098,-120.0,1.264,0.615,1.711,0.902,-0.368,19.6,1.023,-114.0,0.868,0.997,0.879,-0.158,13.25,0.902,98.0,0.82,1.189
316,3.721,-0.08,0.951,0.871,-0.5,34.37,0.567,52.0,6.773,0.143,1.073,0.859,-0.164,22.6,0.48,89.0,3.967,0.807,0.839,-0.001,15.89,0.381,480.0,2.306,0.968
317,3.661,-0.455,0.98,0.989,-3.371,2.05,0.281,956.0,-0.027,0.223,1.076,0.932,-1.25,3.16,0.261,1098.0,-0.472,0.833,0.928,-0.581,1.0,0.343,443.0,3.253,0.912
318,3.7,-0.019,0.941,0.94,-1.321,51.52,0.891,97.0,5.086,0.285,1.183,0.898,-0.251,36.09,0.891,146.0,3.209,0.947,0.867,0.0,25.95,0.648,865.0,2.905,1.145
371,3.596,-0.09,0.951,0.849,-0.281,36.0,0.99,114.0,6.17,0.159,1.013,0.858,-0.21,30.32,1.019,182.0,3.965,0.797,0.82,-0.009,10.92,0.671,419.0,2.576,1.119
375,3.666,-0.095,0.951,0.919,-0.821,52.1,1.125,-1.0,3.883,0.405,1.312,0.891,-0.195,32.74,0.983,48.0,2.366,1.045,0.869,-0.002,24.58,0.481,1081.0,1.752,1.168
407,3.7,-0.22,0.951,0.89,-0.221,69.0,1.224,464.0,17.11,0.346,1.398,0.899,-0.194,54.1,1.236,380.0,14.211,1.136,0.872,0.13,46.44,1.06,3189.0,3.474,1.28
531,3.774,-0.059,0.97,0.929,-1.211,54.69,0.799,93.0,6.368,0.246,1.149,0.874,-0.16,40.03,0.69,180.0,5.312,0.82,0.855,0.001,30.0,0.753,516.0,2.829,1.181
541,3.543,-0.48,0.951,0.862,-0.02,56.1,1.022,-109.0,9.382,0.34,1.261,0.839,0.299,42.1,0.946,-41.0,8.457,0.881,0.855,0.0,37.7,0.988,362.0,3.889,0.964
543,3.623,-0.291,0.969,0.9,-0.863,57.1,1.587,-40.0,-0.097,0.476,1.333,0.881,-0.265,40.21,1.485,24.0,4.153,0.943,0.867,-0.05,25.27,0.973,1534.0,2.09,1.123
621,3.541,0.334,0.92,0.93,-1.113,6.5,0.481,-121.0,8.651,0.558,1.625,0.92,-0.509,5.5,0.48,-117.0,6.853,1.028,0.907,-0.003,16.2,0.335,810.0,6.659,1.126
741,3.63,-0.507,0.951,0.931,-1.03,80.0,1.383,281.0,-0.431,0.719,2.203,0.898,-0.254,61.01,1.023,566.0,0.188,1.286,0.878,0.0,-0.2,0.01,618.0,1.5,0.448
742,3.559,-0.354,0.94,0.901,-1.3,-10.0,0.329,188.0,8.258,0.476,1.331,0.89,-0.644,-10.0,0.294,246.0,6.688,0.891,0.832,0.15,-10.0,0.325,240.0,-20.01,1.012
743,3.667,-0.237,0.95,0.959,-1.281,65.19,0.784,-43.0,-0.549,0.572,1.713,0.918,-0.291,47.7,0.739,-17.0,0.079,1.182,0.89,0.0,22.6,0.507,297.0,1.187,1.279
746,3.665,-0.231,0.949,0.929,-0.881,43.32,0.84,-40.0,2.653,0.572,1.732,0.878,-0.022,33.2,0.792,-10.0,2.883,1.219,0.879,0.0,21.09,0.63,353.0,1.791,1.188
762,3.69,-0.44,0.981,0.939,-1.161,55.1,0.482,138.0,9.905,0.712,1.588,0.911,-0.329,40.1,0.44,180.0,5.246,0.804,0.893,-0.058,62.08,0.343,2117.0,6.683,0.815
802,3.523,-0.171,0.939,0.919,-0.941,34.1,1.116,112.0,1.312,0.203,1.116,0.887,-0.251,24.1,1.036,205.0,0.977,0.889,0.862,-0.011,16.79,0.888,574.0,2.131,1.126
806,3.573,-0.27,0.951,0.969,-1.151,67.2,1.082,238.0,4.31,0.18,1.213,0.941,-0.355,44.1,0.93,285.0,2.666,0.955,0.912,-0.001,28.1,0.826,210.0,3.144,1.287
809,3.532,-0.49,0.952,0.941,-1.176,14.1,0.803,9.0,1.446,0.157,1.031,0.877,-0.244,16.1,0.799,124.0,1.258,0.951,0.901,-0.108,21.1,1.296,-338.0,0.283,1.26
823,3.237,-0.821,0.969,0.959,-1.641,0.02,0.521,384.0,-2.575,0.04,1.108,0.913,-0.5,49.74,0.527,2728.0,0.357,0.89,0.821,-0.004,-1.9,0.115,1318.0,-1.68,0.98
833,3.621,-0.193,0.94,0.921,-1.05,37.78,1.002,-2.0,2.331,0.355,1.247,0.89,-0.237,23.1,0.907,21.0,2.443,0.939,0.88,-0.08,18.3,0.932,50.0,1.744,1.109
837,3.588,-0.536,0.96,0.899,-0.681,36.92,0.968,62.0,2.859,0.269,1.23,0.873,-0.15,25.2,0.897,145.0,2.54,0.985,0.874,-0.065,28.6,0.827,811.0,1.485,1.185
951,3.514,-0.431,0.959,0.931,-1.28,21.1,0.794,-63.0,8.945,0.534,1.493,0.902,-0.41,12.3,0.707,-39.0,6.904,0.998,0.881,-0.046,13.2,0.796,-195.0,3.98,1.076
972,3.542,-0.081,0.939,0.931,-1.6,40.1,1.116,205.0,6.982,0.19,1.046,0.877,-0.351,32.1,1.142,315.0,6.742,0.796,0.872,-0.176,13.61,0.978,351.0,4.352,0.789
1000,3.731,0.075,0.921,0.929,-0.981,22.0,0.645,16.0,1.283,0.742,2.148,0.881,-0.227,12.1,0.598,17.0,1.531,1.035,0.856,-0.028,9.7,0.537,85.0,1.459,1.137
1090,3.732,-0.171,0.969,0.891,-0.8,21.06,1.048,-38.0,1.74,0.839,2.187,0.851,-0.188,16.4,1.033,-21.0,1.36,0.833,0.858,-0.131,7.36,0.909,21.0,1.408,0.957
1100,3.735,0.025,0.919,0.919,-0.751,42.0,0.647,13.0,0.529,0.717,2.19,0.886,-0.18,27.1,0.583,30.0,1.02,1.063,0.867,-0.016,26.04,0.577,113.0,1.347,1.093
1300,3.647,-0.1,0.941,0.911,-0.86,29.2,0.764,16.0,3.801,0.406,1.273,0.878,-0.147,20.42,0.723,36.0,3.74,0.943,0.864,0.0,16.16,0.684,265.0,2.784,1.077
1310,3.708,-0.091,0.949,0.901,-0.8,38.2,0.691,62.0,5.834,0.273,1.148,0.88,-0.208,24.1,0.641,88.0,3.491,0.898,0.856,0.0,21.8,0.517,733.0,2.813,1.074
1370,3.653,-0.095,0.951,0.889,-0.562,45.3,1.091,-6.0,5.497,0.323,1.169,0.877,-0.18,31.1,1.008,38.0,3.356,0.893,0.846,-0.002,17.21,0.679,535.0,2.287,1.021
1400,3.59,-0.411,0.96,0.911,-0.91,57.57,0.95,390.0,9.447,0.469,1.161,0.883,-0.19,39.1,0.809,668.0,8.832,0.807,0.889,-0.017,27.48,0.797,1036.0,3.551,1.051
1540,3.557,-0.381,0.949,0.869,-0.211,56.79,1.08,-17.0,6.379,0.355,1.267,0.858,0.009,40.1,0.984,36.0,6.74,0.887,0.857,0.0,29.36,0.908,451.0,3.34,0.977
1740,3.559,-0.354,0.94,0.901,-1.3,-10.0,0.329,188.0,8.258,0.476,1.331,0.89,-0.644,-10.0,0.294,246.0,6.688,0.891,0.832,0.15,-10.0,0.325,240.0,-20.01,1.012
1750,3.665,-0.241,0.949,0.931,-0.89,46.0,0.818,-40.0,2.49,0.575,1.734,0.881,-0.031,31.1,0.74,-13.0,2.744,1.217,0.881,0.0,20.72,0.608,320.0,1.78,1.193
1760,3.689,-0.44,0.981,0.939,-1.161,60.5,0.509,140.0,8.67,0.71,1.585,0.909,-0.305,40.1,0.441,178.0,3.044,0.806,0.893,-0.058,62.08,0.343,2117.0,6.683,0.815
1800,3.569,-0.351,0.949,0.922,-1.01,33.42,0.975,25.0,1.89,0.273,1.198,0.889,-0.244,22.2,0.911,62.0,1.702,0.944,0.869,-0.022,18.9,0.844,355.0,1.99,1.175
1950,3.514,-0.431,0.959,0.931,-1.28,21.1,0.794,-63.0,8.945,0.534,1.493,0.902,-0.41,12.3,0.707,-39.0,6.904,0.998,0.881,-0.046,13.2,0.796,-195.0,3.98,1.076
1970,3.535,-0.081,0.939,0.93,-1.545,32.0,0.952,209.0,6.314,0.205,1.051,0.85,-0.162,25.01,0.897,343.0,5.921,0.797,0.873,-0.17,10.1,0.848,364.0,4.118,0.797
