species_index,code_alpha,code_fia,code_plants,dg_resid_sd,dg_intercept,dg_ln_dbh,dg_dbh_squared,dg_ln_crown_pct,dg_site_index,dg_relative_height,dg_stand_basal_area,dg_point_bal,dg_slope_tan,dg_slope_cos_aspect,dg_slope_sin_aspect,dg_prior_obs_count,dg_fortype_lowland_hw,dg_fortype_nonoak_hw,dg_fortype_oak_pine,dg_fortype_softwd_hp,dg_fortype_upland_hw,dg_fortype_upland_oak,dg_fortype_yellow_pine,dg_planted,dg_phys_pm221,dg_phys_pm222,dg_phys_pm231,dg_phys_p221,dg_phys_p222,dg_phys_s231t,dg_phys_s231l,dg_phys_p232,dg_phys_p234,dg_phys_p255,dg_phys_p411,bark_intercept,bark_slope,dg_bound_dbh_lo,dg_bound_dbh_hi,ht_curve_b1,ht_curve_b2,ht_curve_b3,ht_curve_b4,ht_curve_b5,ht_relht_yxs,ht_relht_r,ht_relht_b,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,site_index_min,site_index_max,site_group,varmrt_shade_adj
45,YP,621,LITU,0.5181,-2.513351,1.495351,-0.000756,0.530123,0.000746,0.161718,-0.001839,-0.002217,-0.321777,-0.001645,0.064815,19207.0,0.083904,0.057388,-0.055234,-0.499954,0.0,-0.090655,0.053935,0.0,-0.035012,0.0,0.0,0.114831,0.255257,0.0,0.095383,0.113058,0.11154,0.0,0.0,-0.22976,0.92408,998.0,999.0,1.2673,1.0,-0.0331,1.1149,0.0001,0.05,13.0,-1.6,5.9617,-0.0340128,478.0,30.0,135.0,3,0.7
46,MG,650,MAGNO,0.5727,-2.516823,1.454173,-0.000925,0.252335,0.007223,0.243666,-0.001259,-0.001111,-0.025555,0.149606,0.032438,6729.0,0.0,-0.326815,-0.017682,0.0,-0.029526,-0.096994,-0.031043,0.0,-1.72121,0.0,0.0,-0.438669,0.0,-0.316872,0.014928,0.0,0.161649,0.0,0.0,-0.2114,0.94461,32.5,43.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.15,16.0,-1.2,5.1677,-0.0077681,492.0,35.0,125.0,9,0.3
47,CT,651,MAAC,0.5126,-1.239592,1.06336,-9.2e-5,0.243097,-0.003084,0.533202,0.00068,-0.001643,-0.308453,-0.071496,0.265688,376.0,-0.295834,0.049636,-0.353219,0.0,0.008351,0.0,-0.627226,0.0,0.0,-0.333954,0.0,0.326227,-0.158005,-0.089037,0.587498,0.575938,0.572974,0.0,0.0,-0.2114,0.94461,27.0,72.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,415.0,25.0,115.0,2,0.5
48,MS,652,MAGR4,0.5703,-1.477929,1.126474,-0.000267,0.134257,0.005884,0.539,-0.00274,-0.000886,0.405735,-0.063579,0.017095,938.0,0.0,-0.153348,0.183663,-0.024673,0.055907,0.109578,0.052422,0.0,-0.184013,-0.708021,0.0,-0.947356,0.0,-0.256347,-0.181586,0.0,0.493509,0.0,0.0,-0.2114,0.94461,36.5,84.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.15,16.0,-1.2,5.1677,-0.0077681,492.0,35.0,125.0,9,0.3
49,MV,653,MAVI2,0.5727,-2.516823,1.454173,-0.000925,0.252335,0.007223,0.243666,-0.001259,-0.001111,-0.025555,0.149606,0.032438,6729.0,0.0,-0.326815,-0.017682,0.0,-0.029526,-0.096994,-0.031043,0.0,-1.72121,0.0,0.0,-0.438669,0.0,-0.316872,0.014928,0.0,0.161649,0.0,0.0,-0.17978,0.92381,32.5,43.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.1,15.0,-1.45,5.9617,-0.0340128,492.0,15.0,75.0,9,0.5
50,ML,654,MAMA2,0.5703,-1.477929,1.126474,-0.000267,0.134257,0.005884,0.539,-0.00274,-0.000886,0.405735,-0.063579,0.017095,938.0,0.0,-0.153348,0.183663,-0.024673,0.055907,0.109578,0.052422,0.0,-0.184013,-0.708021,0.0,-0.947356,0.0,-0.256347,-0.181586,0.0,0.493509,0.0,0.0,-0.2114,0.94461,36.5,84.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.15,16.0,-1.2,5.1677,-0.0077681,492.0,35.0,125.0,9,0.3
51,AP,660,MALUS,0.5056,-1.746231,1.234133,-1.7e-5,0.285511,0.002596,0.180572,-0.001709,-9.9e-5,-0.872861,-0.078948,-0.023609,539.0,0.0,-0.357484,0.01002,0.0,-0.023979,-0.02495,0.272524,0.0,0.352576,0.128982,0.243569,0.26906,0.000219,-0.25349,0.0,-0.119399,0.032415,0.498573,0.0,-0.33014,0.94215,21.2,22.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.9617,-0.0340128,422.0,15.0,40.0,9,0.7
52,MB,680,MORUS,0.5056,-1.746231,1.234133,-1.7e-5,0.285511,0.002596,0.180572,-0.001709,-9.9e-5,-0.872861,-0.078948,-0.023609,539.0,0.0,-0.357484,0.01002,0.0,-0.023979,-0.02495,0.272524,0.0,0.352576,0.128982,0.243569,0.26906,0.000219,-0.25349,0.0,-0.119399,0.032415,0.498573,0.0,-0.33014,0.94215,23.6,30.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,277.0,15.0,55.0,9,0.3
53,WT,691,NYAQ2,0.5698,-2.721782,1.599221,-0.000162,0.351271,0.001783,0.133939,-0.00037,-0.000262,-0.023349,2.073647,-2.213173,6104.0,0.0,0.0,-0.203627,0.0,0.066993,0.696768,0.045531,0.0,0.0,0.0,0.0,0.0,0.18624,-1.048379,0.031801,0.0,-0.054588,0.0,0.0,-0.3814,0.97327,63.8,89.0,1.2721,0.9995,-0.0256,0.7447,-0.0019,0.05,13.0,-1.6,5.9617,-0.0340128,726.0,30.0,105.0,9,0.7
54,BG,693,NYSY,0.5356,-1.508549,1.306362,-0.000576,0.112403,0.003356,0.121169,-0.002482,-0.001013,-0.296628,-0.131968,-0.031596,10328.0,0.114656,0.063092,0.076702,-0.447981,0.111483,0.0,0.22918,0.0,-0.014903,-0.266804,-0.251634,-0.000477,0.058798,-0.116789,0.138867,0.0,-0.031436,0.37582,0.0,0.19899,0.88941,998.0,999.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.15,16.0,-1.2,5.1677,-0.0077681,430.0,35.0,105.0,9,0.3
55,TS,694,NYBI,0.5888,-2.55572,1.303035,0.0,0.319301,0.006498,-0.109064,-0.001087,-0.001185,-0.130105,-0.053688,0.149549,17098.0,0.0,0.580807,-0.116496,0.0,-0.11074,-0.195302,0.006188,0.0,0.0,0.0,0.0,0.0,0.0,0.01815,0.688179,0.0,0.202859,0.0,0.0,-0.15231,0.93442,33.0,60.0,1.3213,0.9995,-0.0254,0.8549,-0.0016,0.05,13.0,-1.6,5.9617,-0.0340128,704.0,35.0,95.0,9,0.7
56,HH,701,OSVI,0.5773,-1.431973,1.452294,-0.001475,0.061077,0.004856,-0.208915,-0.003145,0.0,-0.422675,-0.236535,0.201149,840.0,0.0,-0.154634,-0.087145,0.0,-0.071133,-0.204189,0.120468,0.0,-0.041534,0.13042,0.212883,0.110701,-0.130543,-0.02585,0.087497,0.0,0.018385,0.255056,0.0,-0.42001,0.94264,18.6,24.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,304.0,15.0,40.0,9,0.3
57,SD,711,OXAR,0.5047,-3.18004,1.35579,-0.000784,0.532236,0.00517,0.077021,-0.002389,-0.000797,-0.29268,0.050523,-0.008687,5689.0,0.076657,0.352409,0.079881,-0.131538,-0.023003,0.0,0.300435,0.0,0.012432,0.0,0.0,0.160384,0.079502,0.0,0.295282,0.057285,0.424776,0.0,0.0,-0.25063,0.94349,16.7,24.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,164.0,15.0,70.0,9,0.3
58,RA,721,PEBO,0.5687,-2.096616,1.254708,0.0,0.344067,0.002656,0.176829,-0.002625,-0.000811,-1.762191,1.202555,0.383865,1953.0,0.0,-1.199357,-0.022774,0.0,0.060206,0.390875,-0.045807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712083,0.0,0.489307,0.0,-0.1476,-0.33014,0.94215,19.2,36.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,492.0,15.0,60.0,9,0.3
59,SY,731,PLOC,0.557,-1.012995,1.272885,-0.000238,0.23453,0.000406,0.332494,-0.000252,-0.001608,-0.092471,0.494599,-0.367667,1892.0,0.0,-0.019656,-0.262507,0.0,-0.150643,-0.161551,-0.239422,0.0,-0.308437,-0.468897,-0.573635,-0.163987,-0.291934,-0.312825,-0.20443,-0.167438,0.0,0.12295,0.0,-0.09192,0.96411,56.6,125.0,1.2673,1.0,-0.0331,1.1149,0.0001,0.1,15.0,-1.45,5.9617,-0.0340128,499.0,30.0,120.0,3,0.5
60,CW,740,POPUL,0.4401,-1.06898,1.164191,0.0,0.084279,0.0097,0.501307,-0.001041,-0.001349,0.075733,-0.601088,-0.757088,972.0,0.0,0.0,-0.122639,0.0,-0.227215,0.428371,-0.127654,0.0,0.0,0.0,0.0,0.0,-0.010636,-0.380297,-0.091346,-0.145951,0.0,-0.227224,0.0,-0.25063,0.94349,46.5,144.0,1.2834,0.9571,-0.068,100.0,-0.9223,0.01,12.0,-1.6,5.9617,-0.0340128,648.0,40.0,125.0,9,0.9
61,BT,743,POGR4,0.4401,-1.06898,1.164191,0.0,0.084279,0.0097,0.501307,-0.001041,-0.001349,0.075733,-0.601088,-0.757088,972.0,0.0,0.0,-0.122639,0.0,-0.227215,0.428371,-0.127654,0.0,0.0,0.0,0.0,0.0,-0.010636,-0.380297,-0.091346,-0.145951,0.0,-0.227224,0.0,-0.25063,0.94349,48.0,60.0,5.2188,0.6855,-0.0301,50.0071,-0.8695,0.01,12.0,-1.6,5.9617,-0.0340128,520.0,30.0,90.0,6,0.9
62,BC,762,PRSE2,0.5781,-2.610023,1.22031,-0.000234,0.520739,0.003897,0.181418,-0.002494,-0.001904,-0.071719,-0.028196,-0.180664,2944.0,0.181563,0.303382,0.162524,0.0,0.146052,0.0,0.203538,0.0,0.290593,0.163528,-0.111387,0.060201,0.089278,0.0,0.23992,0.12589,0.264833,1.90134,0.0,-0.12958,0.94152,26.9,84.0,7.1846,0.6781,-0.0222,13.9186,-0.5268,0.05,13.0,-1.6,5.9617,-0.0340128,384.0,35.0,105.0,9,0.7
63,WO,802,QUAL,0.4407,-1.608339,1.468589,-0.000778,0.139456,0.00453,0.358369,-0.002807,-0.002269,-0.223273,0.008526,-0.032889,27487.0,0.214921,0.196181,0.106951,0.210088,0.100081,0.0,0.154886,0.0,-0.191164,-0.155148,-0.154994,-0.063321,-0.031876,0.0,0.16471,0.031862,0.089972,0.448682,0.0,-0.24096,0.93789,998.0,999.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,361.0,25.0,115.0,9,0.5
64,SO,806,QUCO2,0.3827,-2.284302,1.569893,-0.000632,0.272422,0.005065,0.206868,-0.001157,-0.001315,-0.204324,-0.004871,0.048758,6009.0,0.081994,0.17408,0.073767,-0.126888,0.089055,0.0,0.015718,0.0,-0.258781,0.0,0.0,-0.063421,-0.023554,0.0,0.067643,0.087098,0.0,0.0,0.0,-0.4086,0.94613,34.5,48.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.01,12.0,-1.6,5.9617,-0.0340128,315.0,25.0,115.0,2,0.9
65,SK,812,QUFA,0.4305,-0.783581,1.432483,-0.000412,0.04446,0.003012,0.241383,-0.003263,-0.001913,-0.312121,0.051221,0.109366,13442.0,0.148989,0.201455,0.055742,0.0,0.06846,0.0,0.047989,0.0,-0.294531,-0.267829,-0.113549,-0.146202,-0.078697,-0.142921,0.0,-0.137069,0.044499,0.189435,0.0,-0.42141,0.93008,42.3,84.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,342.0,25.0,115.0,6,0.5
66,CB,813,QUPA5,0.4,-0.295485,1.239946,-0.000163,0.020622,0.00383,0.431515,-0.002257,-0.001826,-0.105862,0.191286,-0.324254,4239.0,0.0,0.130043,-0.065943,0.0,-0.066026,-0.114309,-0.023093,0.0,-0.303022,-0.568197,-0.001804,-0.301395,-0.106435,-0.139157,0.0,5.8e-5,-0.035715,-0.198361,0.0,-0.21801,0.9354,46.2,84.0,1.0945,0.9938,-0.0755,2.5601,0.0114,0.05,13.0,-1.6,5.9617,-0.0340128,405.0,30.0,125.0,9,0.7
67,TO,819,QULA2,0.4957,-2.69813,1.622081,-0.001703,0.354924,0.000682,-0.033854,-0.002773,-0.002901,-1.084846,-0.196932,0.51463,2764.0,-0.049627,0.0,0.167384,0.0,0.09929,0.0,0.184647,0.0,0.0,0.0,0.0,0.0,0.0,-0.141504,0.987526,0.0,1.109686,1.446041,0.0,-0.61021,0.95803,17.2,26.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.9617,-0.0340128,326.0,25.0,65.0,9,0.7
68,LK,820,QULA3,0.5586,-1.561284,1.335456,-0.000412,0.246163,0.004714,0.381808,-0.001526,-0.002253,-0.704548,0.421803,0.296509,8105.0,0.0,-0.127737,0.029504,0.0,-0.053091,0.012219,0.03069,0.0,0.0,0.0,0.0,0.0,0.0,-0.18474,0.183278,0.0,0.238162,0.768121,-1.32854,-0.04612,0.93127,48.1,84.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,387.0,25.0,65.0,9,0.3
69,OV,822,QULY,0.4659,-0.947174,1.37635,-0.000482,0.099697,0.00128,0.427943,-0.001416,-0.002636,-0.666854,-0.977891,-0.311322,2960.0,0.0,-0.924265,-0.183514,0.0,-0.083244,-0.057771,-0.076588,0.0,0.0,0.0,-0.506825,0.0,0.074902,-0.083491,0.045341,0.062981,0.0,-0.065887,0.0,-0.37973,0.9438,48.0,60.0,1.3295,0.9565,-0.0668,16.0085,-0.4157,0.1,15.0,-1.45,5.9617,-0.0340128,384.0,35.0,95.0,9,0.5
70,BJ,824,QUMA3,0.4649,-1.948938,1.611438,-0.000844,0.135696,0.00274,0.056739,-0.003558,-0.001825,-0.071837,-0.147407,0.241882,3605.0,-0.123167,0.0,0.000279,0.0,0.170335,0.0,-0.096186,0.0,-0.172582,0.107373,-0.084775,0.127193,-0.066699,-0.052485,0.178459,0.0,-0.037201,0.380348,-0.741911,-0.61021,0.95803,22.7,27.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.9617,-0.0340128,326.0,25.0,65.0,9,0.7
71,SN,825,QUMI,0.4913,-1.321662,1.640507,-0.000285,0.038193,0.005844,0.086499,-0.004171,-0.001962,-1.251051,-0.342161,0.077775,1504.0,0.0,-0.28634,0.07676,0.0,0.037457,0.010126,0.088233,0.0,-0.25241,0.0,-0.27847,-0.201638,0.222377,-0.053375,0.006612,0.0,0.0076,0.0,0.0,-0.49699,0.94832,47.2,108.0,1.3466,0.959,-0.0574,8.9538,-0.3454,0.05,13.0,-1.6,5.9617,-0.0340128,417.0,35.0,95.0,9,0.7
72,CK,826,QUMU,0.5056,-2.223515,0.937359,0.000212,0.286311,0.008621,0.733279,-0.000299,-0.001711,-0.065269,-0.008808,0.471906,831.0,0.086112,0.035396,0.021275,0.0,0.111528,0.0,-0.518898,0.0,-0.039862,-0.110433,-0.170239,0.024645,0.0,0.126865,-0.010615,0.755389,0.471921,0.606309,0.0,-0.34225,0.93494,37.2,72.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.05,13.0,-1.6,5.9617,-0.0340128,336.0,35.0,75.0,9,0.7
73,WK,827,QUNI,0.4664,-0.845477,1.488444,-0.000286,0.053292,0.00533,0.130856,-0.003479,-0.001641,-0.151128,0.073469,-0.165679,24356.0,0.0,0.044529,-0.042926,0.0,-0.088049,-0.08591,-0.068603,0.0,0.197053,0.108061,-0.061415,-0.343207,-0.056293,-0.113493,0.076125,0.0,0.122936,0.249718,-0.26175,-0.3033,0.95826,47.6,72.0,1.3466,0.959,-0.0574,8.9538,-0.3454,0.05,13.0,-1.6,5.9617,-0.0340128,365.0,30.0,115.0,9,0.7
74,CO,832,QUPR2,0.4293,-2.900655,1.34735,-0.000533,0.300133,0.008415,0.597032,-0.001112,-0.001536,-0.133852,-0.05605,0.003947,12188.0,0.237228,0.136033,0.030761,-0.23819,0.096751,0.0,0.053589,0.0,0.0,0.0,0.0,0.15138,0.200026,0.204279,0.295079,0.085617,0.080911,0.585065,0.0,-0.43197,0.9212,998.0,999.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,417.0,25.0,115.0,7,0.5
75,RO,833,QURU,0.4048,-2.732646,1.49945,-0.000729,0.344764,0.004632,0.466082,-0.000908,-0.001131,-0.174932,-0.042528,0.110336,8401.0,0.103731,0.207951,0.010721,-0.023986,0.138142,0.0,0.052338,0.0,0.0,0.023769,0.058308,0.043448,0.036206,0.132129,0.163239,0.205401,0.433254,0.0,0.0,-0.52266,0.95215,998.0,999.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,414.0,25.0,115.0,2,0.5
76,QS,834,QUSH,0.4074,-0.328678,1.282494,-0.000351,0.071625,-0.001173,0.4556,-0.000482,-0.002125,-0.692617,0.176391,0.069174,505.0,0.139953,0.207603,0.009285,0.0,0.13252,0.0,0.219845,0.0,-0.854641,-0.590369,-0.160338,-0.190715,-0.329148,-0.237106,0.0,-0.089086,-0.19085,-0.03683,0.0,-0.61021,0.95803,40.6,96.0,1.0945,0.9938,-0.0755,2.5601,0.0114,0.05,13.0,-1.6,5.9617,-0.0340128,342.0,15.0,125.0,3,0.7
77,PO,835,QUST,0.4853,-1.430321,1.293728,-0.000452,0.047937,0.005466,0.514612,-0.003306,-0.001375,-0.408878,0.009165,0.054469,14841.0,0.268975,0.482744,0.042786,0.0,0.090618,0.0,0.056597,0.0,-0.042633,-0.25256,-0.243734,-0.162999,-0.160463,-0.048463,0.0,-0.081158,0.159575,0.171401,0.0,-0.26493,0.91899,38.9,52.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.9617,-0.0340128,311.0,25.0,85.0,9,0.7
78,BO,837,QUVE,0.4219,-2.345845,1.45033,-0.000674,0.251441,0.005921,0.527504,-0.002235,-0.000862,-0.307814,-0.033568,0.054762,10119.0,0.049693,0.272007,0.034224,-0.104624,0.071804,0.0,-0.044373,0.0,-0.122266,-0.144853,-0.16313,0.021869,0.0,-0.048649,0.151382,0.084829,0.369759,-0.051983,0.0,-0.70754,0.94821,998.0,999.0,1.2866,0.9962,-0.0355,1.4485,-0.0316,0.1,15.0,-1.45,5.9617,-0.0340128,370.0,25.0,115.0,2,0.5
79,LO,838,QUVI,0.6635,-3.64066,1.448503,-0.00021,0.549199,0.009377,0.073672,-0.003217,-0.000779,-0.099727,-0.1742,-0.102828,2916.0,0.0,0.0,0.074099,0.0,0.061718,0.229807,-0.043042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268416,0.0,-0.639461,-0.70754,0.94821,58.8,69.0,1.3466,0.959,-0.0574,8.9538,-0.3454,0.1,15.0,-1.45,5.9617,-0.0340128,410.0,30.0,65.0,9,0.5
80,BK,901,ROPS,0.5187,-1.307911,0.963269,0.0,0.268621,0.003713,0.396699,-0.001858,-0.001674,-0.335364,-0.084806,0.127896,1990.0,0.138241,0.117354,-0.097572,0.0,0.0,-0.083039,-0.046524,0.0,0.0,-0.174431,0.170467,0.016664,0.035772,0.047888,0.371885,0.171124,0.240479,0.444606,0.0,-0.37166,0.89193,30.8,60.0,0.968,1.0301,-0.0468,0.1639,0.4127,0.01,12.0,-1.6,5.1677,-0.0077681,343.0,25.0,95.0,9,0.9
81,WI,920,SALIX,0.4508,-1.109398,1.187096,0.0,0.202056,0.006303,0.093966,0.0,-0.001075,-0.135482,-0.083002,0.059529,2134.0,0.0,0.0,0.001536,0.0,0.019648,0.165022,-0.001371,0.0,-0.316154,0.0,0.0,-0.36058,0.031358,0.151013,-0.120265,-0.059706,0.0,-0.203095,0.0,-0.25063,0.94349,38.8,60.0,0.968,1.0301,-0.0468,0.1639,0.4127,0.01,12.0,-1.6,5.1677,-0.0077681,447.0,15.0,110.0,9,0.9
82,SS,931,SAAL5,0.4504,-1.745126,1.31334,-0.000179,0.201048,0.004206,0.542693,-0.002593,-0.000345,-0.01334,-0.021681,-0.069965,1577.0,-0.058475,0.013995,-0.139506,0.414214,0.0,-0.166983,-0.018172,0.0,-0.109616,0.068664,-0.981901,-0.066394,0.0,-0.153195,0.075592,-0.040417,0.333962,0.393517,0.0,-0.25063,0.94349,25.6,31.6,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.1677,-0.0077681,492.0,15.0,80.0,9,0.7
83,BD,950,TILIA,0.5496,-1.848106,1.424209,-0.001488,0.289244,0.003499,0.253525,-0.001236,-0.002875,-0.580068,0.235707,-0.055862,763.0,0.067203,0.0,0.008236,0.0,-0.033491,0.012197,0.14852,0.0,0.0,0.022312,0.378775,0.195305,0.106462,-0.145798,-0.155027,-0.071987,0.920288,0.644926,0.0,-0.35979,0.95322,998.0,999.0,4.7633,0.7576,-0.0194,6.511,-0.4156,0.15,16.0,-1.2,5.1677,-0.0077681,526.0,35.0,90.0,9,0.3
84,EL,970,ULMUS,0.6447,-2.356235,1.479429,-0.000517,0.425367,0.002767,-0.083383,-0.003132,-0.001352,-1.000956,-0.064524,-0.146557,3230.0,0.0,-0.005493,-0.263842,0.0,-0.054579,-0.202033,0.071996,0.0,0.340206,-0.330585,0.261703,0.431384,-0.107188,0.0,0.045265,0.036098,-0.31894,0.270984,0.0,-0.42027,0.96305,31.4,38.0,6.4362,0.6827,-0.0194,10.9767,-0.5477,0.1,15.0,-1.45,5.1677,-0.0077681,282.0,35.0,90.0,9,0.5
85,WE,971,ULAL,0.5286,-0.790138,0.949707,0.0,0.100266,0.00436,0.348136,-0.002975,-0.00103,-0.439374,0.272172,0.248287,2294.0,0.211919,0.11261,0.174149,0.0,0.168458,0.0,0.364012,0.0,0.11777,-0.235842,-0.43592,-0.036156,-0.229106,0.125704,0.0,0.070072,-0.022479,0.23536,0.0,-0.42027,0.96305,23.9,27.0,6.4362,0.6827,-0.0194,10.9767,-0.5477,0.15,16.0,-1.2,5.1677,-0.0077681,263.0,35.0,90.0,9,0.3
86,AE,972,ULAM,0.5364,-0.510736,1.164789,0.0,0.127893,0.00045,0.516517,-0.003114,-0.001524,-0.446461,0.228712,0.069806,2024.0,0.0,-0.221068,-0.019557,0.0,-0.210607,-0.237209,0.137175,0.0,-0.312702,-0.097041,-0.361568,-0.127373,-0.293653,-0.413743,-0.127535,-0.043112,0.0,0.11986,0.0,-0.42027,0.96305,46.7,130.0,6.4362,0.6827,-0.0194,10.9767,-0.5477,0.1,15.0,-1.45,5.1677,-0.0077681,282.0,35.0,90.0,9,0.5
87,RL,975,ULRU,0.535,-0.229212,1.060275,0.0,0.116801,-0.001806,0.430393,-0.00133,-0.002098,0.158824,-0.216082,0.037837,791.0,0.0,-0.23243,-0.086137,0.0,-0.073558,-0.242294,0.177563,0.0,-0.167102,-0.292978,0.084842,-0.229308,-0.287173,-0.014656,0.0,-0.029868,0.210046,-0.360256,0.0,-0.42027,0.96305,35.8,80.0,6.4362,0.6827,-0.0194,10.9767,-0.5477,0.15,16.0,-1.2,5.1677,-0.0077681,227.0,35.0,90.0,6,0.3
88,OS,299,2TN,0.5297,-1.864431,1.403065,-0.001237,0.273616,-0.000374,0.177408,-0.00362,-0.00189,-0.231988,0.077542,-0.025792,4132.0,0.128828,-0.020186,0.054362,0.0,0.079239,0.0,0.144288,0.0,0.131771,0.217904,0.436986,0.083896,-0.005539,0.0,0.49074,0.399497,0.938548,1.088152,0.0,-0.38344,0.91915,24.1,29.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.1,15.0,-1.45,5.5877,-0.005348,354.0,15.0,55.0,5,0.5
89,OH,998,2TB,0.5773,-1.431973,1.452294,-0.001475,0.061077,0.004856,-0.208915,-0.003145,0.0,-0.422675,-0.236535,0.201149,840.0,0.0,-0.154634,-0.087145,0.0,-0.071133,-0.204189,0.120468,0.0,-0.041534,0.13042,0.212883,0.110701,-0.130543,-0.02585,0.087497,0.0,0.018385,0.255056,0.0,-0.33014,0.94215,998.0,999.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.1,15.0,-1.45,5.9617,-0.0340128,492.0,15.0,55.0,9,0.5
90,OT,999,2TREE,0.5576,-1.645961,1.447657,-0.002158,0.241038,-0.00325,0.719652,0.0,-0.002468,-1.080004,0.112883,0.158354,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25063,0.94349,20.5,25.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.1,15.0,-1.45,5.9617,-0.0340128,421.0,15.0,55.0,9,0.5
